"discovery_date","facility_name","closest_street_address","city","county","latitude","longitude","estimate_or_actual","volume_gallons","treated_state_of_discharge","explained_if_other","ending_date_time","expected_ending_date_time","duration_hours_minutes","corrective_actions","receiving_water_body","reason_for_discharge","other_explanation"
"12:00:00 AM 01:30 PM","City of Rensselaer ","Right Aid Pharmacy - Aiken Ave and US Rte 20","City of Rensselaer","Rensselaer","42.6425794","-73.742898","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Contractor onsite within 1 hour of break to make repair","Hudson","Insufficient System Capacity; Other; ","VCP pipe failure; "
"12:00:00 AM 02:30 AM","orange town sewer dept.","FERDON AVE","SPARKILL","Delaware","41.0310242","-73.9239939","Unknown","","Untreated","","","Expected ending date of discharge not reported","","NONE","SPARKILL CREEK","Other; ","V.F.D.S   KICKED OUT; "
"12:00:00 AM 02:30 PM","ROCKLAND COUNTY SEWER DISTRICT # 1","LONG MEADOW DRIVE","NEW CITY","Rockland","41.15317280000001","-73.9794838","Estimate","13500","Untreated","","","Expected ending date of discharge not reported","","BREAK BLOCKAGE","","Blockage; ","GREASE RAGS; "
"12:00:00 AM 03:20 PM","Town of Pittsford sewer Department","150 French Rd ","Pittsford","Monroe","43.104082","-77.529146","Unknown","","Untreated","","","Expected ending date of discharge not reported","","flushed sewer line","Allens creak","Other; ","Grease in sewer; "
"12:00:00 AM 05:30 AM","Honeoye Lake STP","Richmond Town Hall","Richmond","Ontario","40.6427651","-74.0771457","Unknown","","Untreated","","","5/16/2014 : ","","None","","Weather Conditions; ","3"" of rain in 24 hours & wide range flooding in the area.; "
"12:00:00 AM 06:50 PM","ORANGETOWN WASTE WATER TREATMENT PLANT","PIERMONT AVE  ","STH NYACK","Rockland","41.0765586","-73.92695569999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","VAC TRUCK TO CONTAIN OVERFLOW","HUDSON RIVER","Blockage; ","IN MAIN; "
"12:00:00 AM 07:00 PM","village of new paltz","14 water st","new paltz","Ulster","41.7460977","-74.08987859999999","Unknown","","Untreated","","","Expected ending date of discharge not reported","","cleaned up all debris","Wakill river","Weather Conditions; ","severe storms; "
"12:00:00 AM 07:05 PM","village of new paltz","71 huguenot st","new paltz","Ulster","41.7508407","-74.088123","Unknown","","Untreated","","","Expected ending date of discharge not reported","","clean up all debris","walkill river","Weather Conditions; ","severe storms; "
"12:00:00 AM 08:15 PM","TOWN OF ORANGETOWN SEWER DEPT","2 SPEER ST","NYACK ","Rockland","41.089902","-73.9170972","Unknown","","Untreated","","","Expected ending date of discharge not reported","","VAC TRUCK ON SCEEN","HUDSON RIVER","Weather Conditions; ","RAIN EVENT; "
"12:00:00 AM 08:49 PM","Mamaroneck Village sanitary sewer system","Bleeker and Rushmore; Forest and Rushmore","Mamaroneck","Westchester","40.94870969999999","-73.7326309","Unknown","","Untreated","","","Expected ending date of discharge not reported","","Due to extremely heavy rainfall and inflow into Vi","Mamaroneck Harbor, which empties into Long Island Sound","Insufficient System Capacity; Weather Conditions; ","extreme rainfall, approaching 4"" of rain, causes sanitary sewer overflows; "
